,session_time,task,task_time,trial,trial_time,phase,port,value,key,time,time_recording,reward_order_in_trial,entry_order_in_trial,exit_order_in_trial,is_1st_lick,is_1st_encounter,is_valid_trial,is_valid,time_in_port
0,0.281102180480957,cued_no_forgo_forced,0.2810180187225342,,,0.4,1.0,1.0,LED,58408161.100106716,-54.66353989328444,,,,False,False,False,False,
1,81.1738874912262,cued_no_forgo_forced,1.9073486328125e-06,,,0.4,,1.0,task,58489076.38165871,26.251741658709943,,,,False,False,False,False,
2,81.17392945289612,cued_no_forgo_forced,4.649162292480469e-05,1.0,3.576278686523437e-06,0.4,2.0,1.0,trial,58489076.423632056,26.251783632054924,,,,False,False,True,True,0.0
3,81.17417240142822,cued_no_forgo_forced,0.0002839565277099,1.0,0.0002410411834716,0.4,2.0,1.0,head,58489076.66664815,26.252026648148895,,1.0,,False,False,True,False,0.0002430160939717041
4,81.55137062072754,cued_no_forgo_forced,0.3774693012237549,1.0,0.3774266242980957,0.4,2.0,1.0,lick,58489453.96976607,26.62932976607233,,,,False,False,True,False,0.37754613401740755
5,81.62690544128418,cued_no_forgo_forced,0.4530086517333984,1.0,0.4529671669006347,0.4,2.0,0.0,lick,58489529.52559283,26.70488559282571,,,,False,False,True,False,0.45310196077078757
6,81.64674425125122,cued_no_forgo_forced,0.4728295803070068,1.0,0.4727869033813476,0.4,2.0,1.0,lick,58489549.369919956,26.724729919955134,,,,False,False,True,False,0.47294628790021065
7,81.74499559402466,cued_no_forgo_forced,0.5710923671722412,1.0,0.5710513591766357,0.4,2.0,0.0,lick,58489647.64858638,26.823008586376904,,,,False,False,True,False,0.5712249543219805
8,81.81579375267029,cued_no_forgo_forced,0.6418848037719727,1.0,0.6418423652648926,0.4,2.0,1.0,lick,58489718.46643395,26.893826433949172,,,,False,False,True,False,0.6420428018942488
9,81.89248418807983,cued_no_forgo_forced,0.718583345413208,1.0,0.7185420989990234,0.4,2.0,0.0,lick,58489795.17819693,26.9705381969288,,,,False,False,True,False,0.7187545648738762
10,81.90355920791626,cued_no_forgo_forced,0.7296500205993652,1.0,0.729607343673706,0.4,2.0,1.0,lick,58489806.256296724,26.981616296723484,,,,False,False,True,False,0.7298326646685602
11,82.2932620048523,cued_no_forgo_forced,1.1193535327911377,1.0,1.1193130016326904,0.4,2.0,0.0,lick,58490196.067469805,27.371427469804882,,,,False,False,True,False,1.1196438377499582
12,82.34327101707458,cued_no_forgo_forced,1.1693549156188965,1.0,1.1693124771118164,0.4,2.0,1.0,lick,58490246.09038951,27.421450389511882,,,,False,False,True,False,1.1696667574569588
13,82.90396809577942,cued_no_forgo_forced,1.7300629615783691,1.0,1.7300214767456057,0.4,2.0,0.0,lick,58490806.94339778,27.982303397782147,,,,False,False,True,False,1.730519765727223
14,82.91516494750977,cued_no_forgo_forced,1.7412538528442385,1.0,1.741211175918579,0.4,2.0,1.0,lick,58490818.14336334,27.993503363341095,,,,False,False,True,False,1.741719731286171
15,83.01427865028381,cued_no_forgo_forced,1.8403728008270264,1.0,1.84033203125,0.4,2.0,0.0,lick,58490917.28462959,28.092644629590215,,,,False,False,True,False,1.840860997535291
16,83.09716391563416,cued_no_forgo_forced,1.923253059387207,1.0,1.9232101440429688,0.4,2.0,1.0,lick,58491000.192945294,28.175552945293486,,,,False,False,True,False,1.9237693132385623
17,83.18183636665344,cued_no_forgo_forced,2.007930278778076,1.0,2.007889032363892,0.4,2.0,0.0,lick,58491084.88894367,28.260248943671584,,,,False,False,True,False,2.0084653116166606
18,83.25432085990906,cued_no_forgo_forced,2.0804147720336914,1.0,2.080371856689453,0.4,2.0,1.0,lick,58491157.393594824,28.33275359482318,,,,False,False,True,False,2.0809699627682576
19,83.34137272834778,cued_no_forgo_forced,2.167465686798096,1.0,2.1674251556396484,0.4,2.0,0.0,lick,58491244.469672345,28.41982967234403,,,,False,False,True,False,2.1680460402891057
20,83.35802221298218,cued_no_forgo_forced,2.1841015815734863,1.0,2.184058904647827,0.4,2.0,1.0,lick,58491261.12378719,28.436483787186443,,,,False,False,True,False,2.1847001551315195
21,83.50402116775513,cued_no_forgo_forced,2.330116510391236,1.0,2.33007550239563,0.4,2.0,0.0,lick,58491407.1633442,28.582523344196378,,,,False,False,True,False,2.3307397121414546
22,83.67393398284912,cued_no_forgo_forced,2.500035285949707,1.0,2.4999923706054688,0.4,2.0,1.0,reward,58491577.12341196,28.752483411960302,1.0,,,False,False,True,False,2.5006997799053785
23,83.69120502471924,cued_no_forgo_forced,2.5173163414001465,1.0,2.517273187637329,0.4,2.0,0.0,reward,58491594.39925689,28.769759256891906,,,,False,False,True,False,2.517975624836982
24,84.05594182014465,cued_no_forgo_forced,2.882034540176392,1.0,2.8819918632507324,0.4,2.0,1.0,lick,58491959.23748543,29.13459748543054,,,,True,True,True,False,2.882813853375616
25,84.13259267807007,cued_no_forgo_forced,2.9586875438690186,1.0,2.9586472511291504,0.4,2.0,0.0,lick,58492035.90965992,29.211269659921527,,,,False,False,True,False,2.9594860278666033
26,84.18764877319336,cued_no_forgo_forced,3.0136935710906982,1.0,3.013650894165039,0.4,2.0,1.0,lick,58492090.981066115,29.266341066114606,,,,False,False,True,False,3.0145574340596824
27,84.2542667388916,cued_no_forgo_forced,3.080361604690552,1.0,3.0803205966949463,0.4,2.0,0.0,lick,58492157.61755824,29.332977558240295,,,,False,False,True,False,3.081193926185371
28,84.30756068229675,cued_no_forgo_forced,3.133640050888061,1.0,3.1335973739624023,0.4,2.0,1.0,lick,58492210.92632266,29.386286322660744,,,,False,False,True,False,3.134502690605821
